index,array_name,data_type,ax,az,bx,bz,mx,mz,nx,nz,apparent_resistivity_ohm_m,resistance_ohm,geometric_factor_m,dobs,standard_deviation
50,wenner,apparent_resistivity,270.0,0.0,330.0,0.0,290.0,0.0,310.0,0.0,70.68,0.5624535688867582,125.66370614359172,70.68,3.5340000000000007
51,wenner,apparent_resistivity,260.0,0.0,320.0,0.0,280.0,0.0,300.0,0.0,72.33,0.5755838516918395,125.66370614359172,72.33,3.6165000000000003
52,wenner,apparent_resistivity,250.0,0.0,310.0,0.0,270.0,0.0,290.0,0.0,51.43,0.4092669361608089,125.66370614359172,51.43,2.5715000000000003
53,wenner,apparent_resistivity,240.0,0.0,300.0,0.0,260.0,0.0,280.0,0.0,77.33,0.6153725874648134,125.66370614359172,77.33,3.8665000000000003
54,wenner,apparent_resistivity,230.0,0.0,290.0,0.0,250.0,0.0,270.0,0.0,103.23,0.8214782387688179,125.66370614359172,103.23,5.1615
55,wenner,apparent_resistivity,220.0,0.0,280.0,0.0,240.0,0.0,260.0,0.0,78.14,0.6218183626600351,125.66370614359172,78.14,3.907
56,wenner,apparent_resistivity,210.0,0.0,270.0,0.0,230.0,0.0,250.0,0.0,53.04,0.42207890907970647,125.66370614359172,53.04,2.652
57,wenner,apparent_resistivity,200.0,0.0,260.0,0.0,220.0,0.0,240.0,0.0,64.46,0.5129563815851786,125.66370614359172,64.46,3.223
58,wenner,apparent_resistivity,190.0,0.0,250.0,0.0,210.0,0.0,230.0,0.0,75.87,0.603754276619105,125.66370614359172,75.87,3.7935000000000003
59,wenner,apparent_resistivity,180.0,0.0,240.0,0.0,200.0,0.0,220.0,0.0,43.18,0.34361552213540203,125.66370614359172,43.18,2.1590000000000003
60,wenner,apparent_resistivity,170.0,0.0,230.0,0.0,190.0,0.0,210.0,0.0,42.59,0.3389204513141912,125.66370614359172,42.59,2.1295
61,wenner,apparent_resistivity,160.0,0.0,220.0,0.0,180.0,0.0,200.0,0.0,42.01,0.33430495796452614,125.66370614359172,42.01,2.1005
62,wenner,apparent_resistivity,150.0,0.0,210.0,0.0,170.0,0.0,190.0,0.0,46.32,0.3686028482008296,125.66370614359172,46.32,2.3160000000000003
63,wenner,apparent_resistivity,140.0,0.0,200.0,0.0,160.0,0.0,180.0,0.0,44.16,0.3514141143469049,125.66370614359172,44.16,2.2079999999999997
64,wenner,apparent_resistivity,130.0,0.0,190.0,0.0,150.0,0.0,170.0,0.0,42.82,0.3407507331597479,125.66370614359172,42.82,2.141
65,wenner,apparent_resistivity,120.0,0.0,180.0,0.0,140.0,0.0,160.0,0.0,55.08,0.43831271327507976,125.66370614359172,55.08,2.754
66,wenner,apparent_resistivity,110.0,0.0,170.0,0.0,130.0,0.0,150.0,0.0,54.75,0.4356866567140635,125.66370614359172,54.75,2.7375000000000003
67,wenner,apparent_resistivity,100.0,0.0,160.0,0.0,120.0,0.0,140.0,0.0,47.43,0.3774359475424298,125.66370614359172,47.43,2.3715
68,wenner,apparent_resistivity,90.0,0.0,150.0,0.0,110.0,0.0,130.0,0.0,60.23,0.4792951111212428,125.66370614359172,60.23,3.0115
69,wenner,apparent_resistivity,80.0,0.0,140.0,0.0,100.0,0.0,120.0,0.0,49.6,0.39470425886790045,125.66370614359172,49.6,2.4800000000000004
70,wenner,apparent_resistivity,70.0,0.0,130.0,0.0,90.0,0.0,110.0,0.0,49.14,0.3910436951767869,125.66370614359172,49.14,2.4570000000000003
71,wenner,apparent_resistivity,60.0,0.0,120.0,0.0,80.0,0.0,100.0,0.0,52.5,0.4177817256162253,125.66370614359172,52.5,2.625
72,wenner,apparent_resistivity,50.0,0.0,110.0,0.0,70.0,0.0,90.0,0.0,46.27,0.3682049608430999,125.66370614359172,46.27,2.3135000000000003
73,wenner,apparent_resistivity,40.0,0.0,100.0,0.0,60.0,0.0,80.0,0.0,48.33,0.38459791998156506,125.66370614359172,48.33,2.4165
74,wenner,apparent_resistivity,30.0,0.0,90.0,0.0,50.0,0.0,70.0,0.0,57.44,0.4570929965599234,125.66370614359172,57.44,2.872
75,wenner,apparent_resistivity,20.0,0.0,80.0,0.0,40.0,0.0,60.0,0.0,72.7,0.5785282181390395,125.66370614359172,72.7,3.6350000000000002
76,wenner,apparent_resistivity,10.0,0.0,70.0,0.0,30.0,0.0,50.0,0.0,80.89,0.6437021673351707,125.66370614359172,80.89,4.0445
77,wenner,apparent_resistivity,0.0,0.0,60.0,0.0,20.0,0.0,40.0,0.0,85.58,0.6810240014902201,125.66370614359172,85.58,4.279
78,wenner,apparent_resistivity,330.0,0.0,420.0,0.0,360.0,0.0,390.0,0.0,62.74,0.3328460376528504,188.4955592153876,62.74,3.1370000000000005
79,wenner,apparent_resistivity,320.0,0.0,410.0,0.0,350.0,0.0,380.0,0.0,52.49,0.27846809876311956,188.4955592153876,52.49,2.6245000000000003
80,wenner,apparent_resistivity,310.0,0.0,400.0,0.0,340.0,0.0,370.0,0.0,63.15,0.33502115520843967,188.4955592153876,63.15,3.1575
81,wenner,apparent_resistivity,300.0,0.0,390.0,0.0,330.0,0.0,360.0,0.0,53.2,0.28223476574962775,188.4955592153876,53.2,2.66
82,wenner,apparent_resistivity,290.0,0.0,380.0,0.0,320.0,0.0,350.0,0.0,59.51,0.315710355446623,188.4955592153876,59.51,2.9755000000000003
83,wenner,apparent_resistivity,280.0,0.0,370.0,0.0,310.0,0.0,340.0,0.0,52.71,0.2796352350124601,188.4955592153876,52.71,2.6355000000000004
84,wenner,apparent_resistivity,270.0,0.0,360.0,0.0,300.0,0.0,330.0,0.0,65.07,0.3452070715663209,188.4955592153876,65.07,3.2535
85,wenner,apparent_resistivity,260.0,0.0,350.0,0.0,290.0,0.0,320.0,0.0,60.88,0.32297843118115294,188.4955592153876,60.88,3.0440000000000005
86,wenner,apparent_resistivity,250.0,0.0,340.0,0.0,280.0,0.0,310.0,0.0,60.78,0.32244791470417994,188.4955592153876,60.78,3.039
87,wenner,apparent_resistivity,240.0,0.0,330.0,0.0,270.0,0.0,300.0,0.0,48.05,0.254913167185519,188.4955592153876,48.05,2.4025
88,wenner,apparent_resistivity,230.0,0.0,320.0,0.0,260.0,0.0,290.0,0.0,50.2,0.2663192714404382,188.4955592153876,50.2,2.5100000000000002
89,wenner,apparent_resistivity,220.0,0.0,310.0,0.0,250.0,0.0,280.0,0.0,51.24,0.2718366428009572,188.4955592153876,51.24,2.5620000000000003
90,wenner,apparent_resistivity,210.0,0.0,300.0,0.0,240.0,0.0,270.0,0.0,57.31,0.3040389929532174,188.4955592153876,57.31,2.8655000000000004
91,wenner,apparent_resistivity,200.0,0.0,290.0,0.0,230.0,0.0,260.0,0.0,48.8,0.2588920407628164,188.4955592153876,48.8,2.44
92,wenner,apparent_resistivity,190.0,0.0,280.0,0.0,220.0,0.0,250.0,0.0,52.68,0.2794760800693682,188.4955592153876,52.68,2.6340000000000003
93,wenner,apparent_resistivity,180.0,0.0,270.0,0.0,210.0,0.0,240.0,0.0,44.65,0.23687560696843754,188.4955592153876,44.65,2.2325
94,wenner,apparent_resistivity,170.0,0.0,260.0,0.0,200.0,0.0,230.0,0.0,58.0,0.30769955664433096,188.4955592153876,58.0,2.9000000000000004
